stars,review_id
1,DhArGCWJ-XcdaLBPzXh0QA
5,hr7HJzPtUSy4UmrzWjsqIA
3,Qcdn4LEmi_zKVIx2OfwyVA
1,xpqdcTtoRr113sti_nf6Uw
1,xzzc3hZmI0gqcrqmfw7NqA
4,Wfz3CIQ0PN6_IvJipyVkkw
3,Zc4RzHissHH8j7qahyeKmQ
3,UPAl8VerNBzlkxGGqM_0hg
4,nxLaJCRM_PXmnTDk8t5Ffw
1,ncphJ1pMZhqj9DxWcQ3ahg
2,rLJHBVXoGgu0Hee61HsC9g
3,gnYOKIaOstRkS5wKoO7xJQ
3,3c4nv5Z3fUNShFzAPejJog
4,dQNZSatlb4yxIu60ZEVn8Q
4,hgVBdOfHcw7VyigOP0l_2g
5,Yi641phEqoyx4rHGAhCU4A
2,Jgjn88wZnC9YUfJcmeqWlQ
4,ElsdGE12j7psggCcLg2S1A
1,LMZn3Uc7H3RygBTe_Sra4g
1,EkaYjkpL3_p2M0NEWsVtIQ
5,f0GMqhpNq7A8YsjUmsNgKg
1,oQ_ZQMTi2vxHr-EHyOovdA
2,zgYiyGeeWssY82GplX9c7w
5,Hpcudq4CGKL9YogepfgNag
1,jgxmA4u0ZTUD7IJz1f4PEQ
2,308uyEoOmYKEyrJsPVjTNQ
4,h5yBgRpNkysK38FkZ3baSw
3,aFpZVtOTLmSug72C6w5r6w
1,nUAKAM6ZVbBOVE43QhRW9w
4,TBuio-e1E-r7b-LAeUCb4w
1,1zmv3lPX_5IBffImBxtYlg
1,g7a0voLPmUP01xs6Tnq8Cw
1,iRlch0VoIRJ7j5pAxkRRLg
1,uX-x_RrwLgM7O58dn2id1A
5,J6Mv7-3MhGnJn2IakbCBFg
5,2owzxaWC-1_sK6oW1gyjcA
5,JAXbtLFh2UhlZTdl03CPlg
3,kTn8F0ioNaS-6vxQxDENhg
5,G4HLRGyilTR_l2VZtIBmlg
5,oQztWQny03XY14pJACq-_g
1,OcunQG9malQxb1yfkAvLIw
1,8tbyYshQWnfVUbFeJUSv3w
4,clU1HOC0k3J4UVuWLTPUxQ
3,fgnO2_6d3f0oXk1JDhY1Vw
4,hFBLcxAwqedaUUFfzXr2iA
3,1y6tXkrGjg3I9YXXu6yiDg
1,ZRSn1BvgG2CMSt0xo1y-Pg
1,rtWmwn9RomKrbnWFj1OFBg
5,0aU7PxxuNELxR2WR3xHBEw
4,WdUS42WRyrWuVWSA84PFsw
3,MZcDQT-UpYneMRkRhYRuvw
5,r7G13t_0o2FGeWVgTKX3sw
5,Tm7RmNh44coGOT6iLE6NaA
4,joBjrwVP9w4wKxNylKLcxQ
1,ufCiK2nigAl5DIt7pNFsdQ
2,RPEeAswdEj5ATZM7AqcF_w
3,7RmVHtHC9G_g_h4Q0CZ72w
5,PO_gwvIa-_tCJi_BEid_BA
4,ZsduzHHkra8GeroZTQhYxQ
5,AgIFbMzgMtY6GxGVmr4XeQ
3,db431WVWiJ1S06RDSrL0gQ
3,UOwB4h63Ywz4UGWzPLX_4w
5,8CcE4wcdwMJrBoQR4Da50g
3,roEw4f2HIfRWOIFH2Hl-wA
2,msHtrGGq4kSVRvDS0Ti07A
5,bpxUQAMBIE_AKdMq3D6Lyw
5,6bOVkNsJsji1ng-r86GFRw
1,aV_lA6CoXAcpvjkXFUXqKg
5,KWZPMyTpGLy1T8cu-9bR3Q
2,-LD_FDEXYmxyL_HnpZ97lQ
2,3q1oKAUP-OOZM44nepsTsg
1,H0UWIyr7oaeQTxvEezGW-w
3,uHnkGsT9SUdFTk8LQk98uA
3,RUcZFyF4ePuRqj4klMl_QQ
1,oKa-zYPFjrUvFhyEdt7_Ng
1,jn79Osp4VfA3Kur6YeGfIw
1,JSOrRY3DlFXWOoQWo9NcZA
3,iSJPOeORzOnOMvJyL62vXA
4,8em-peL6pr2gXg-w7secKw
2,81JamC1PqQ9Xa_5HawGCog
2,KNrNuZ9_SVMLZe0jKZMOIw
3,j3iA9qjXuhs74p20-alK9Q
5,Kb3VnuGd8QB1SnyX8woydA
5,wcYonLsrbn0gD4VIkX-YBA
5,S2Ox1PzVFE31mbo7aj7J2A
5,Ffe66DafatxWMyEn8vDNLA
4,W_ACF29_nGp6nV3M2mrvkg
3,RvkmWlQpNLd1v8ULjxOU8Q
4,jFDmuASA26Thv-6nV1UDpA
3,_Jl49HaUSx3TN2wLpRX7vQ
3,2dCh-axrL76Chu8AjDvMgw
1,2vOVnEEOuZ3f5eiv9UiLhg
1,bKel7BLJPef1_xb8ecV9gw
5,4fHMRG2Qbkd144jxIijtyA
4,nQczF8ER2CaovdR79ozWzA
4,1lxEYZRBYhtd1N2US5JetQ
